"","INDPRO_YoY","close_price","DTWEXM","VIXCLS","M2SL","PAYEMS","UNRATE","INDPRO","PPIACO","CPIAUCSL","FEDFUNDS","AAA","BAA","TB3MS","GS10","monthly_return"
"INDPRO_YoY",1,0.0603737649566467,-0.154262598092975,-0.410265432236023,0.00861254424871948,0.0528064564121277,-0.24419675257002,0.395444267313191,0.129503408898351,0.0148675396363436,0.0889005434209639,-0.0230830103999355,-0.197432617428562,0.0988332159454208,0.103521506606642,-0.0660456199214882
"close_price",0.0603737649566467,1,0.0152081921768748,-0.168236158749246,0.943935830867492,0.907691100616876,-0.419454822270865,0.624658515349057,0.821376301575421,0.914308084830174,0.190852496783059,-0.45570453810157,-0.517440503594307,0.236212328150769,-0.257989711590339,0.115312022610515
"DTWEXM",-0.154262598092975,0.0152081921768748,1,0.0770403152983949,-0.122789054826454,0.027574861161519,-0.48048604805276,-0.23392726241124,-0.423757216255461,-0.254547964566854,0.300629645118031,0.364506807857734,0.310738165320757,0.308137561770084,0.329276466532324,-0.118610397588034
"VIXCLS",-0.410265432236023,-0.168236158749246,0.0770403152983949,1,-0.0906859931863552,-0.229851523458485,0.302503667246287,-0.449942765032498,-0.126265535049179,-0.135929424200621,-0.160524145250559,0.158621343192745,0.329339933709962,-0.178444088352813,-0.032176340230366,-0.389123889971478
"M2SL",0.00861254424871948,0.943935830867492,-0.122789054826454,-0.0906859931863552,1,0.88496739375127,-0.257025786110474,0.62321181032036,0.90255635299094,0.9693667171409,-0.0563239569948675,-0.655984249293986,-0.665332837522557,-0.00347606500325852,-0.496853426857481,0.110001515434133
"PAYEMS",0.0528064564121277,0.907691100616876,0.027574861161519,-0.229851523458485,0.88496739375127,1,-0.603587286654938,0.792730484135039,0.808313305820882,0.899259648638821,0.225585861766384,-0.474051619282849,-0.515127714969903,0.267988114057687,-0.26873459520142,0.0221234978865368
"UNRATE",-0.24419675257002,-0.419454822270865,-0.48048604805276,0.302503667246287,-0.257025786110474,-0.603587286654938,1,-0.585288093202685,-0.151027458403437,-0.223740992963344,-0.59599020271543,-0.126928035804968,-0.00594646853285035,-0.608904194559773,-0.313357724700167,0.162873305026178
"INDPRO",0.395444267313191,0.624658515349057,-0.23392726241124,-0.449942765032498,0.62321181032036,0.792730484135039,-0.585288093202685,1,0.700087981071303,0.68218074709678,0.176728298224917,-0.492433392153075,-0.576418719512361,0.195428407598575,-0.277327003036513,-0.0054525382129088
"PPIACO",0.129503408898351,0.821376301575421,-0.423757216255461,-0.126265535049179,0.90255635299094,0.808313305820882,-0.151027458403437,0.700087981071303,1,0.956688701401142,-0.0655543664709007,-0.588860331562491,-0.58650593633751,-0.0205749875031807,-0.442650924637344,0.0756696007270362
"CPIAUCSL",0.0148675396363436,0.914308084830174,-0.254547964566854,-0.135929424200621,0.9693667171409,0.899259648638821,-0.223740992963344,0.68218074709678,0.956688701401142,1,-0.0257096575368765,-0.623652485708301,-0.624262071540439,0.0234974318910332,-0.46231052075907,0.108081419869195
"FEDFUNDS",0.0889005434209639,0.190852496783059,0.300629645118031,-0.160524145250559,-0.0563239569948675,0.225585861766384,-0.59599020271543,0.176728298224917,-0.0655543664709007,-0.0257096575368765,1,0.582887490976433,0.473819846361705,0.992895473700435,0.754630534304474,-0.0627726056859372
"AAA",-0.0230830103999355,-0.45570453810157,0.364506807857734,0.158621343192745,-0.655984249293986,-0.474051619282849,-0.126928035804968,-0.492433392153075,-0.588860331562491,-0.623652485708301,0.582887490976433,1,0.956054776411806,0.55692025649089,0.937906930597043,-0.172900926785122
"BAA",-0.197432617428562,-0.517440503594307,0.310738165320757,0.329339933709962,-0.665332837522557,-0.515127714969903,-0.00594646853285035,-0.576418719512361,-0.58650593633751,-0.624262071540439,0.473819846361705,0.956054776411806,1,0.446884617384071,0.845059254462162,-0.169827245859585
"TB3MS",0.0988332159454208,0.236212328150769,0.308137561770084,-0.178444088352813,-0.00347606500325852,0.267988114057687,-0.608904194559773,0.195428407598575,-0.0205749875031807,0.0234974318910332,0.992895473700435,0.55692025649089,0.446884617384071,1,0.745043901906852,-0.0530641295286673
"GS10",0.103521506606642,-0.257989711590339,0.329276466532324,-0.032176340230366,-0.496853426857481,-0.26873459520142,-0.313357724700167,-0.277327003036513,-0.442650924637344,-0.46231052075907,0.754630534304474,0.937906930597043,0.845059254462162,0.745043901906852,1,-0.144260768404867
"monthly_return",-0.0660456199214882,0.115312022610515,-0.118610397588034,-0.389123889971478,0.110001515434133,0.0221234978865368,0.162873305026178,-0.0054525382129088,0.0756696007270362,0.108081419869195,-0.0627726056859372,-0.172900926785122,-0.169827245859585,-0.0530641295286673,-0.144260768404867,1
